stimulusitem2,med1d,med2d
1,1.609437912,3.507332695
2,-3.912023005,-3.912023005
3,0.693147181,0.34657359
4,1.609437912,2.552517985
5,0,0
6,6.396929655,6.436181186
7,1.609437912,2.302585093
8,1.053285105,1.844439727
9,4.605170186,5.178871412
10,2.708050201,2.876286319
11,0,3.399527931
12,0,1.844439727
13,5.521460918,5.825473381
14,4.317488114,4.130634075
15,0.693147181,2.51194026
16,1.903331245,3.086893052
17,2.995732274,3.801948984
18,0,0
19,2.302585093,3.086893052
20,3.401197382,7.426123721
21,3.688879454,4.274345929
22,1.609437912,1.812170466
23,5.164785974,5.381603966
24,3.912023005,4.482858894
25,0,1.098612289
26,4.094344562,4.185505341
27,0,0.693147181
28,0.916290732,1.00578206
29,0,0.895879735
30,2.302585093,4.136923466
31,5.298317367,6.20399628
32,2.197224577,2.302585093
33,0.693147181,0.895879735
34,1.098612289,1.386294361
35,0.693147181,0.693147181
36,1.386294361,1.666102255
37,3.688879454,4.197512779
38,2.079441542,2.249904835
39,7.60090246,7.231830186
40,2.302585093,2.995106883
41,4.605170186,4.258596596
42,1.791759469,2.876286319
43,3.198464828,3.942099967
44,0,0
45,1.098612289,1.609437912
46,0,1.098612289
47,2.302585093,3.881510655
48,5.521460918,6.205016689
49,5.23155167,5.906515029
50,4.605170186,3.859342748
51,1.609437912,1.847545357
52,1.700598691,1.791759469
53,3.912023005,4.655997013
54,2.995732274,2.994480708
55,0,-0.34657359
56,0,3.478272722
57,2.197224577,4.467258281
58,0,-0.47080427
59,0.693147181,1.609437912
60,3.688879454,4.325829757
61,1.497866137,2.440946209
62,3.401197382,5.150292205
63,0.693147181,2.047172281
64,2.995732274,3.49235816
65,0.693147181,1.151292546
66,6.907755279,5.28179744
67,2.302585093,2.851891237
68,2.995732274,3.366998388
69,1.039720771,3.198464828
70,1.609437912,2.072518838
71,1.609437912,2.124247621
72,0.693147181,2.014903021
73,4.094344562,4.332806598
74,4.605170186,3.401197382
75,0,0.895879735
76,3.80666249,4.465313235
77,1.609437912,3.737669618
78,3.218875825,3.901921652
79,2.623512036,2.891912591
80,2.302585093,2.760730459
81,2.302585093,2.360793278
82,1.609437912,1.85139118
83,1.609437912,2.241748528
84,2.079441542,2.282174096
85,3.912023005,3.949576742
86,2.302585093,3.622113758
87,1.098612289,2.341065614
88,3.163968392,3.681005276
89,2.995732274,2.995732274
90,1.609437912,0.895879735
121,2.302585093,3.198464828
122,5.010635294,5.496024753
123,0,0.688134639
124,3.80045123,3.725039785
125,0.693147181,0.458145366
126,3.401197382,3.940402172
127,1.386294361,2.124247621
128,3.401197382,3.479699256
129,0.405465108,0.34657359
130,1.609437912,2.851891237
131,0.693147181,2.635016095
132,5.857933154,6.490860524
133,3.891612008,3.695090714
134,1.354025101,2.012675845
135,4.976733742,4.349757374
136,3.688879454,3.198464828
137,0,1.098612289
138,0,1.589026915
139,3.555348061,3.478272722
140,1.609437912,2.129298298
141,0.693147181,1.098612289
142,0.693147181,0.34657359
143,5.298317367,4.258596596
144,2.302585093,1.791759469
145,2.079441542,6.907755279
146,6.396929655,6.194197101
147,2.995732274,3.545038418
148,0.693147181,0.549306144
149,3.401197382,3.310036603
150,1.609437912,2.687639204
151,1.609437912,1.589026915
152,1.609437912,2.047172281
153,2.302585093,1.777674031
154,4.248495242,3.401197382
155,2.995732274,3.622113758
156,1.609437912,2.851891237
157,4.605170186,5.304528627
158,0.34657359,0
159,1.098612289,0.895879735
160,1.609437912,1.615367044
161,1.386294361,1.242453325
162,3.218875825,3.198464828
163,1.609437912,1.386294361
164,2.708050201,2.928966577
165,5.192956851,5.298317367
166,5.010635294,4.80790274
167,4.951743776,4.951743776
168,3.912023005,2.817394802
169,1.609437912,1.868834809
181,3.218875825,4.49359841
182,0,0.895879735
183,3.688879454,4.935223849
184,2.302585093,1.935600505
185,0,2.302585093
186,2.708050201,2.249904835
187,0,1.242453325
188,1.609437912,1.497866137
189,5.298317367,3.996141065
190,4.605170186,4.349757374
191,4.007333185,3.912023005
192,0,0
193,1.386294361,0.895879735
194,4.605170186,5.643639392
195,2.48490665,3.433466642
196,2.197224577,1.791759469
197,0,0
198,0,1.386294361
199,1.609437912,2.537586908
200,4.17438727,3.686426049
201,0,0
202,0.693147181,0.895879735
203,0,0
204,4.17438727,5.906515029
205,5.521460918,5.703782475
206,0,1.098612289
207,1.791759469,1.700598691
208,1.609437912,0.895879735
209,2.079441542,2.995732274
210,0,0.34657359
211,2.302585093,2.740319462
212,4.317488114,4.14702482
213,2.708050201,3.80045123
214,2.708050201,2.191013317
215,3.912023005,4.488573242
216,2.995732274,3.043387363
217,1.609437912,2.13833306
218,5.010635294,4.523044169
219,1.098612289,1.522261219
220,2.079441542,2.071567363
221,2.302585093,2.567899219
222,0.693147181,1.039720771
223,2.890371758,2.851891237
224,2.302585093,2.393745871
225,2.302585093,2.359249436
226,0,0
227,0.693147181,1.609437912
228,2.48490665,2.350240183
229,1.098612289,2.302585093
230,9.210340372,11.51292546
231,2.302585093,2.191013317
232,5.857933154,5.857933154
233,1.098612289,1.242453325
234,3.218875825,2.505317647
235,0,-0.693147181
236,0,0
237,6.907755279,6.802394763
238,2.63905733,2.817394802
239,4.605170186,4.14702482
240,5.010635294,4.094344562
241,2.012675845,2.505317647
242,8.517193191,9.413072926
243,2.995732274,3.054623791
244,3.80666249,3.401197382
245,1.609437912,1.098612289
246,4.442651256,4.716741962
247,4.828313737,4.094344562
248,2.302585093,2.943052016
249,0.693147181,0.895879735
250,1.609437912,0.549306144
251,3.401197382,3.5694335
252,2.63905733,2.708050201
253,4.716741962,6.618738092
254,4.828313737,5.501049921
255,3.091042453,3.453877639
256,4.700480366,4.605170186
257,3.912023005,3.389960954
258,3.555348061,3.912023005
259,2.708050201,1.386294361
260,2.63905733,3.310036603
261,3.912023005,3.950503526
262,0,-0.215391458
263,4.605170186,5.23155167
264,1.790091412,2.047172281
265,2.995732274,3.289625606
266,3.688879454,3.859342748
267,1.098612289,0.752038698
268,1.609437912,0.505800456
269,0,-0.948559992
270,3.401197382,3.541101329
301,0.549306144,0.202732554
302,4.605170186,4.773406304
303,3.80666249,4.49359841
304,2.995732274,2.850639672
305,1.609437912,1.00745151
306,6.396929655,7.03087272
307,0,-1.956011503
308,0.437734369,0.202732554
309,4.744932128,5.756462732
310,0,0.279807894
311,5.010635294,5.298317367
312,0,0.405465108
313,3.218875825,3.19343966
314,1.098612289,0.34657359
315,2.302585093,2.047172281
316,1.098612289,1.039720771
317,3.401197382,3.639659418
318,0,-0.2989185
319,2.708050201,2.431840441
320,6.214608098,6.953335668
321,0,-0.143841036
322,-0.34657359,-1.151292546
323,3.912023005,4.349757374
324,2.708050201,1.930364856
325,1.609437912,1.609437912
326,0,-0.255412812
327,1.700598691,1.198947636
328,0,0
329,4.17438727,3.688879454
330,3.912023005,3.856237118
331,0.693147181,-0.34657359
332,2.995732274,2.995732274
333,0,0
334,2.995732274,3.401197382
335,4.605170186,4.278206952
336,2.708050201,1.609437912
337,2.995732274,2.834940461
338,2.995732274,3.154959139
339,2.197224577,2.135826789
340,1.095273387,0.693147181
341,0.693147181,0
342,3.912023005,4.17438727
343,2.63905733,1.666102255
344,1.609437912,1.151292546
345,1.252762968,0.549306144
346,3.401197382,3.198464828
347,3.044522438,3.387111943
348,3.688879454,3.713274536
349,1.386294361,0.804718956
361,2.302585093,2.646652412
362,1.098612289,0.549306144
363,1.844439727,0
364,0.693147181,0.34657359
365,4.46132915,5.703782475
366,4.546903278,4.605170186
367,2.302585093,2.302585093
368,3.401197382,3.639659418
369,5.075173815,6.203485294
370,4.043205138,4.349757374
371,0,-0.34657359
372,3.401197382,3.310036603
373,1.354025101,0.943534825
374,3.84810632,4.349757374
375,2.833213344,2.596478425
376,2.995732274,2.760730459
377,3.912023005,3.912023005
378,1.609437912,1.098612289
379,5.063315552,4.923458601
380,3.912023005,3.401197382
381,3.912023005,4.505944717
382,1.944480556,1.609437912
383,3.36729583,4.191830899
384,4.49980967,4.248495242
385,4.80790274,5.308002324
386,1.098612289,0.549306144
387,2.995732274,3.387111943
388,3.865965361,3.891820298
389,1.386294361,0.739377765
390,2.470821211,2.740319462
391,4.205916338,4.043205138
392,5.298317367,4.85555783
393,3.583518938,3.32964696
394,3.681005276,4.59511985
395,2.397895273,2.003666593
396,4.382026635,3.891612008
397,3.80666249,4.951743776
398,5.959195287,6.561181689
399,0.693147181,1.138633643
400,5.991464547,5.409889142
401,0.693147181,1.262864322
402,1.098612289,0.34657359
403,3.218875825,1.956011503
404,6.551080335,7.110487833
405,3.218875825,2.393745871
406,4.094344562,3.959678095
407,0,0.693147181
408,3.401197382,2.302585093
409,3.218875825,3.107304049
410,2.760730459,1.980406585
411,0,0
412,2.63905733,1.657093002
413,1.098612289,1.310519412
414,1.609437912,2.003666593
415,5.010635294,4.258596596
416,3.912023005,3.099173251
417,1.609437912,1.609437912
418,2.48490665,1.903331245
419,2.197224577,2.302585093
420,1.386294361,1.262864322
421,4.553876892,4.114755559
422,1.609437912,0.804718956
423,2.833213344,2.414156869
424,3.107304049,3.478272722
425,1.386294361,1.633832995
426,2.079441542,1.609437912
427,1.791759469,2.087193635
428,4.094344562,4.349757374
429,1.609437912,2.302585093
430,3.555348061,2.851891237
431,5.988961417,6.382844217
432,5.010635294,6.508501431
433,3.401197382,2.708050201
434,7.313220387,7.736869317
435,0.693147181,1.354025101
436,2.197224577,1.956011503
437,3.912023005,4.200329688
438,1.098612289,1.039720771
439,2.079441542,1.633832995
440,4.094344562,3.381957121
441,3.36729583,2.851891237
442,0,0.916290732
443,1.777674031,1.777674031
444,0.693147181,0.972955075
445,4.49980967,2.995732274
446,2.302585093,1.42737229
447,2.82624459,3.387111943
448,2.995732274,2.963463013
449,2.995732274,2.393745871
450,1.386294361,0.693147181
481,1.098612289,1.844439727
482,2.079441542,1.930364856
483,0,0
484,1.609437912,1.609437912
485,3.081657402,2.649158683
486,1.609437912,1.609437912
487,0.693147181,0.895879735
488,4.605170186,5.756462732
489,1.098612289,0.693147181
490,1.945910149,1.700598691
491,3.912023005,3.912023005
492,1.956011503,2.649158683
493,0,0
494,5.164785974,5.063315552
495,2.995732274,1.956011503
496,4.17438727,3.733685533
497,1.098612289,-0.458145366
498,0,0.693147181
499,2.197224577,2.087193635
500,6.212606096,5.868034508
501,4.317488114,4.341353815
502,3.218875825,2.851891237
503,2.708050201,1.903331245
504,0.693147181,1.06916653
505,5.164785974,4.46132915
506,0,0.111571776
507,0,0
508,2.197224577,2.302585093
509,1.609437912,1.740620045
510,2.833213344,2.708050201
511,3.36729583,2.46566639
512,1.791759469,1.556757655
513,2.393745871,1.956011503
514,4.317488114,4.114755559
515,1.039720771,1.609437912
516,3.912023005,3.342305864
517,3.401197382,3.401197382
518,3.258096538,2.649158683
519,2.302585093,1.777674031
520,2.708050201,2.505317647
521,2.995732274,2.851891237
522,2.649158683,1.980406585
523,2.708050201,1.657093002
524,5.991464547,4.926097129
525,1.609437912,1.609437912
526,5.010635294,4.306251686
527,0.693147181,1.844439727
528,1.945910149,1.657093002
