Sub	Run	Trial	AllNew	PriorPay	PriorObjNaN	ObjA	ObjB	Delay	Pay	RT	Resp	ChooseOld	ChosenSide	PriorChosenSide	ChosenObj
1	1	1	1	NaN	0	361	481	NaN	0.75	1873.74804075807	j	NaN	1	NaN	481
1	1	2	1	NaN	0	362	482	NaN	0.75	1645.93696594238	j	NaN	1	NaN	362
1	1	3	1	NaN	0	363	483	NaN	1	1152.95460354537	k	NaN	2	NaN	363
1	1	4	1	NaN	0	364	484	NaN	0	1553.94157674164	j	NaN	1	NaN	484
1	1	5	1	NaN	0	365	485	NaN	1	1104.56858668476	k	NaN	2	NaN	485
1	1	6	1	NaN	0	366	486	NaN	0.75	1168.64568181336	j	NaN	1	NaN	486
1	1	7	1	NaN	0	367	487	NaN	0	1081.16130996495	k	NaN	2	NaN	367
1	1	8	1	NaN	0	368	488	NaN	1	1047.67672158778	k	NaN	2	NaN	488
1	1	9	0	0.75	0	369	481	8	NaN	NaN	NaN	NaN	NaN	1	NaN
1	1	10	0	0.75	0	370	362	8	0.75	987.138488329947	k	1	2	1	362
1	1	11	0	1	0	371	363	8	1	953.265842050314	j	1	1	2	363
1	1	12	0	0	0	372	484	8	0.75	1783.08998793364	k	0	2	1	372
1	1	13	1	NaN	0	373	489	NaN	0.5	1367.91458167136	k	NaN	2	NaN	489
1	1	14	1	NaN	0	374	490	NaN	0.5	1613.6890668422	j	NaN	1	NaN	374
1	1	15	1	NaN	0	375	491	NaN	0.25	1116.66438914835	j	NaN	1	NaN	491
1	1	16	0	1	0	376	485	11	1	1929.81304042041	j	1	1	2	485
1	1	17	1	NaN	0	377	492	NaN	1	1267.06675998867	k	NaN	2	NaN	492
1	1	18	0	0	0	378	367	11	0.75	2113.86326514184	j	0	1	2	378
1	1	19	1	NaN	0	379	493	NaN	0.25	1330.26377763599	j	NaN	1	NaN	493
1	1	20	1	NaN	0	380	494	NaN	0.5	1462.492370978	k	NaN	2	NaN	494
1	1	21	0	0.75	0	381	486	15	0.75	1118.92530228943	k	1	2	1	486
1	1	22	1	NaN	0	382	495	NaN	0.75	1685.05594599992	j	NaN	1	NaN	382
1	1	23	0	1	0	383	488	15	0.75	1997.25289456546	j	0	1	2	383
1	1	24	1	NaN	0	384	496	NaN	0.25	1372.31450062245	k	NaN	2	NaN	496
1	1	25	0	0.5	0	385	489	12	0.5	1172.15259186924	j	1	1	2	489
1	1	26	1	NaN	0	386	497	NaN	0.5	1145.64569573849	j	NaN	1	NaN	386
1	1	27	0	0.5	0	387	374	13	0.5	1449.62070230395	j	1	1	1	374
1	1	28	1	NaN	0	388	498	NaN	0	1136.34512573481	k	NaN	2	NaN	388
1	1	29	0	0.25	0	389	491	14	0.25	1359.60337799042	k	0	2	1	389
1	1	30	0	0.25	0	390	493	11	0.25	1239.78246282786	k	1	2	1	493
1	1	31	1	NaN	0	391	499	NaN	1	1158.25340803713	k	NaN	2	NaN	499
1	1	32	1	NaN	0	392	500	NaN	0.5	1687.06309422851	j	NaN	1	NaN	500
1	1	33	0	1	0	393	492	16	1	1086.47925779223	k	1	2	2	492
1	1	34	0	0.5	0	394	494	14	0.5	2260.81590354443	j	1	1	2	494
1	1	35	1	NaN	0	395	501	NaN	0	1414.49710633606	j	NaN	1	NaN	501
1	1	36	0	0.75	0	396	382	14	0.75	1429.26021758467	k	1	2	1	382
1	1	37	1	NaN	0	397	502	NaN	0.75	2123.55809286237	j	NaN	1	NaN	397
1	1	38	0	0.25	0	398	496	14	1	2021.51073049754	k	0	2	2	398
1	1	39	1	NaN	0	399	503	NaN	1	1619.53020934016	k	NaN	2	NaN	399
1	1	40	1	NaN	0	400	504	NaN	0	1549.29572530091	j	NaN	1	NaN	504
1	1	41	0	1	0	401	499	10	1	1563.42407129705	k	1	2	2	499
1	1	42	0	0	0	402	388	14	0.25	1994.00428216904	j	0	1	2	402
1	1	43	0	0.5	0	403	386	17	0	1777.4571152404	k	0	2	1	403
1	1	44	1	NaN	0	404	505	NaN	0.5	1379.38392255455	k	NaN	2	NaN	404
1	1	45	0	0	0	405	501	10	0	2280.53914383054	j	1	1	1	501
1	1	46	0	0.5	0	406	500	14	0.5	1143.91159918159	j	1	1	1	500
1	1	47	1	NaN	0	407	506	NaN	0.25	1097.03738428652	j	NaN	1	NaN	407
1	1	48	1	NaN	0	408	507	NaN	0	1366.87103379518	j	NaN	1	NaN	408
1	1	49	1	NaN	0	409	508	NaN	1	1422.16891609132	k	NaN	2	NaN	508
1	1	50	0	1	0	410	399	11	1	1781.58147726208	j	1	1	2	399
1	1	51	0	0.75	0	411	397	14	0.75	1710.38192790002	j	1	1	1	397
1	1	52	0	0	0	412	504	12	0.5	2068.91272589564	j	0	1	1	412
1	1	53	0	0.5	0	413	404	9	NaN	NaN	NaN	NaN	NaN	2	NaN
1	1	54	1	NaN	0	414	509	NaN	0.25	1426.21503863484	k	NaN	2	NaN	414
1	1	55	0	0.25	0	415	407	8	0.25	1704.49278969318	j	1	1	1	407
