Sub	Run	Trial	AllNew	PriorPay	PriorObjNaN	ObjA	ObjB	Delay	Pay	RT	Resp	ChooseOld	ChosenSide	PriorChosenSide	ChosenObj
2	1	1	1	NaN	0	361	481	NaN	0.5	1078.13166640699	k	NaN	2	NaN	361
2	1	2	1	NaN	0	362	482	NaN	1	1038.69289346039	k	NaN	2	NaN	482
2	1	3	1	NaN	0	363	483	NaN	0	861.590309068561	j	NaN	1	NaN	483
2	1	4	1	NaN	0	364	484	NaN	0	937.401782721281	j	NaN	1	NaN	484
2	1	5	1	NaN	0	365	485	NaN	0.75	974.886449053884	j	NaN	1	NaN	485
2	1	6	1	NaN	0	366	486	NaN	0.25	844.720305874944	k	NaN	2	NaN	486
2	1	7	1	NaN	0	367	487	NaN	1	843.174129724503	k	NaN	2	NaN	487
2	1	8	1	NaN	0	368	488	NaN	0.5	1233.61642472446	j	NaN	1	NaN	368
2	1	9	0	0.5	0	369	361	8	0.5	1776.85897052288	j	0	1	2	369
2	1	10	0	1	0	370	482	8	1	719.419991597533	j	1	1	2	482
2	1	11	0	0	0	371	483	8	0.75	1189.37610462308	k	0	2	1	371
2	1	12	0	0	0	372	484	8	0.5	1131.86070509255	k	0	2	1	372
2	1	13	1	NaN	0	373	489	NaN	0.25	1226.34593769908	k	NaN	2	NaN	373
2	1	14	1	NaN	0	374	490	NaN	0.5	1134.61093604565	j	NaN	1	NaN	374
2	1	15	1	NaN	0	375	491	NaN	0	1005.22712059319	j	NaN	1	NaN	491
2	1	16	0	0.75	0	376	485	11	0.75	1051.84409767389	k	1	2	1	485
2	1	17	1	NaN	0	377	492	NaN	0.75	1115.3922919184	k	NaN	2	NaN	492
2	1	18	0	1	0	378	487	11	1	1073.79525713623	j	1	1	2	487
2	1	19	1	NaN	0	379	493	NaN	0.5	1006.4445938915	j	NaN	1	NaN	493
2	1	20	1	NaN	0	380	494	NaN	0.25	1549.24092069268	k	NaN	2	NaN	494
2	1	21	0	0.25	0	381	486	15	0.5	1436.46441213787	k	0	2	2	381
2	1	22	1	NaN	0	382	495	NaN	0.25	857.386136427522	j	NaN	1	NaN	382
2	1	23	0	0.5	0	383	368	15	0.5	966.885292902589	j	0	1	1	383
2	1	24	1	NaN	0	384	496	NaN	0.75	823.044730350375	k	NaN	2	NaN	384
2	1	25	0	0.25	0	385	373	12	0.75	1114.84354734421	k	0	2	2	385
2	1	26	1	NaN	0	386	497	NaN	0.75	800.679266452789	k	NaN	2	NaN	386
2	1	27	0	0.5	0	387	374	13	0.5	974.867977201939	k	1	2	1	374
2	1	28	1	NaN	0	388	498	NaN	0.5	1374.06252883375	k	NaN	2	NaN	388
2	1	29	0	0	0	389	491	14	0	1012.9869543016	k	1	2	1	491
2	1	30	0	0.5	0	390	493	11	0	1123.80226142704	j	0	1	1	390
2	1	31	1	NaN	0	391	499	NaN	0.5	1281.91023878753	j	NaN	1	NaN	391
2	1	32	1	NaN	0	392	500	NaN	0.75	697.575457394123	k	NaN	2	NaN	500
2	1	33	0	0.75	0	393	492	16	0.75	1288.01210969687	j	0	1	2	393
2	1	34	0	0.25	0	394	494	14	0.5	1420.43542861938	j	0	1	2	394
2	1	35	1	NaN	0	395	501	NaN	0	1135.25773584843	j	NaN	1	NaN	501
2	1	36	0	0.25	0	396	382	14	0.75	1256.56666234136	k	0	2	1	396
2	1	37	1	NaN	0	397	502	NaN	0.25	1295.33089697361	k	NaN	2	NaN	502
2	1	38	0	0.75	0	398	384	14	0.75	949.366824701428	k	1	2	2	384
2	1	39	1	NaN	0	399	503	NaN	0	930.993404239416	k	NaN	2	NaN	399
2	1	40	1	NaN	0	400	504	NaN	1	1120.46977691352	j	NaN	1	NaN	504
2	1	41	0	0.5	0	401	391	10	1	1088.35100196302	k	0	2	1	401
2	1	42	0	0.5	0	402	388	14	1	1095.80689109862	k	0	2	2	402
2	1	43	0	0.75	0	403	386	17	0	1348.71464036405	j	0	1	2	403
